fecha,serie,valor
2022-05-01,Tarjetas de crédito,2.247125945971019
2022-06-01,Tarjetas de crédito,2.1169137659999264
2022-07-01,Tarjetas de crédito,2.1504452186344882
2022-08-01,Tarjetas de crédito,2.062847801276325
2022-09-01,Tarjetas de crédito,1.9368269232589572
2022-10-01,Tarjetas de crédito,1.9797954784230212
2022-11-01,Tarjetas de crédito,1.8076960968294353
2022-12-01,Tarjetas de crédito,1.94665597098366
2023-01-01,Tarjetas de crédito,2.057232249078589
2023-02-01,Tarjetas de crédito,2.087500173638441
2023-03-01,Tarjetas de crédito,2.3259181299703644
2023-04-01,Tarjetas de crédito,2.316157605871471
2023-05-01,Tarjetas de crédito,2.194296917091231
2023-06-01,Tarjetas de crédito,2.294124507647888
2023-07-01,Tarjetas de crédito,2.275628833689811
2023-08-01,Tarjetas de crédito,2.0221622423092116
2023-09-01,Tarjetas de crédito,2.0494847101415776
2023-10-01,Tarjetas de crédito,1.830625968341108
2023-11-01,Tarjetas de crédito,1.6506765512778885
2023-12-01,Tarjetas de crédito,1.7713950912781669
2024-01-01,Tarjetas de crédito,1.769278553431603
2024-02-01,Tarjetas de crédito,1.6707086300129257
2024-03-01,Tarjetas de crédito,1.8185915937694093
2024-04-01,Tarjetas de crédito,1.8009999457828656
2024-05-01,Tarjetas de crédito,2.025796731055599
2024-06-01,Tarjetas de crédito,2.0050947507701244
2024-07-01,Tarjetas de crédito,1.894768177656126
2024-08-01,Tarjetas de crédito,1.9350231127932673
2024-09-01,Tarjetas de crédito,1.926397671355024
2024-10-01,Tarjetas de crédito,1.7287457017607553
2024-11-01,Tarjetas de crédito,1.8115704338761554
2024-12-01,Tarjetas de crédito,1.9133094258644094
2025-01-01,Tarjetas de crédito,2.016070492171323
2025-02-01,Tarjetas de crédito,2.382856902585936
2025-03-01,Tarjetas de crédito,2.752070770812862
2025-04-01,Tarjetas de crédito,3.2434655760195876
2025-05-01,Tarjetas de crédito,4.170216306930703
2025-06-01,Tarjetas de crédito,4.873770491124144
2025-07-01,Tarjetas de crédito,5.324956508904885
2025-08-01,Tarjetas de crédito,6.651529855187055
2025-09-01,Tarjetas de crédito,7.361703509337287
2025-10-01,Tarjetas de crédito,7.66424090371897
2025-11-01,Tarjetas de crédito,9.147171482773746
2025-12-01,Tarjetas de crédito,9.317060204284271
2026-01-01,Tarjetas de crédito,10.992362829178617
2026-02-01,Tarjetas de crédito,11.645549243138943
2026-03-01,Tarjetas de crédito,11.810015387756259
2026-04-01,Tarjetas de crédito,12.473438839639405
2026-05-01,Tarjetas de crédito,13.113157706294864
